Famille d'origine;Planet;People;Prosperity;RECOMMANDATION;CRITERES;JUSTIFICATIONS;Etape Cycle de Vie;incontournables;Indicateurs;X;Y;Priorite;Recurrence;Use Case
STRATEGIE;A;B;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;La solution retenue est-elle la plus respectueuse de l'environnement? Sinon, ce choix est-il justifie par le besoin utilisateur?;Le nouveau service peut apporter une meilleure efficacite environnementale, mais il peut aussi participer e la creation de dette environnementale supplementaire, l'ensemble des 3 dimensions (3P) doivent pouvoir montrer un benefice sinon le positionnement du service peut etre e revoir.;Conception;;(X / Y ) * 100;"Oui = 100 ; Partiel = 50 ; Non = 0";100;Medium;OnUpdate;Une analyse d'impact est definie pour permettre d'arbitrer les impacts vis e vis de la couverture des besoins
STRATEGIE;A;B;A;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Le modele economique de ce service prend-il en compte l'eco-conception ?;Lorsque le NR est en dehors du modele economique il est difficile de concilier l'activite economique et les impacts du NR, et cela tourne le plus souvent e des arbitrages oe la prosperityabilite immediate est privilegiee face aux 3P;Conception;;;;;;;
STRATEGIE;B;B;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Les aspects performances, accessibilite, securite et sobriete sont-ils pris en compte ensemble ?;Dans la majorite des cas, une meilleure performance technique est aussi synonyme d'une meilleure efficacite environnementale, la consommation de ressources de calcul est plus faible, les volumes de transferts sont plus restreints, les algorithmes sont plus efficaces.e;Conception;;;;;;;
STRATEGIE;B;B;A;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Les gains NR sont-ils evalues en prealable du projet ?;Dans le cas de refonte de services, il est plus simple d'estimer les gains attendus par le nouveau service en reference au service actuel. Pour un service nouveau, l'etude prealable determinera des hypotheses de gains qui devront etre affinees au cours du projet. L'affichage des gains attendus est un marqueur important pour convaincre l'ensemble des acteurs du bien fonde de la demarche;Conception;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;Medium;Once;Analyse d'impact
STRATEGIE;B;B;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Le NR est-il inscrit dans la strategie et les objectifs de l'organisation ?;"Afin de pouvoir installer une demarche NR dans les projets, il est indispensable que tous les decideurs adherent e cette demarche, c'est necessairement le cas si le NR est inscrit dans la strategie de l'organisation. Dans le cas contraire, il sera difficile de mener une demarche NR, car en permanence il faudra trouver des justifications pour convaincre de poursuivre. Le projet en serait impacte donc pereu comme moins efficace ""e cause du NR""";Conception;;;;;;;
STRATEGIE;B;B;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;L'attente du marche, clients, fournisseurs, partenaires est-elle en phase avec une demarche NR ?;Les differents secteurs d'activite presentent des sensibilites variables face au NR, et e perimetre identique certaines organisations ou categories de parties prenantes ont des aspirations variables. Le fait de s'engager dans une demarche NR et de l'exposer est plus simple si cela correspond e une preoccupation des acteurs concernes. La communication et l'expression de la demarche NR sera quelque peu differente en fonction de la maturite du marche cible.;Conception;;;;;;;
STRATEGIE;B;B;A;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Les enjeux et benefices attendus sont-ils bien identifies ?;Pour capitaliser sur l'innovation apportee par la prise en compte du NR il est important de determiner les benefices de la demarche, que ce soit d'un point de vue financier, ou d'avantage competitif ou de notoriete ou de capacite de communication et reconnaissance d'etre un acteur engage pour reduire les impacts du numerique.;Conception;;;;;;;
STRATEGIE;B;A;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;L'organisation est-elle en mesure de faire progresser son niveau de maturite vis e vis de lՎco conception et de son perimetre, avec la realisation de projets NR ?;La demarche NR doit etre presente dans toutes les etapes de realisation et cela passe necessairement par une culture NR au sein de l'organisation. La maturite augmentera progressivement avec les pratiques.;Conception;;;;;;;
STRATEGIE;B;B;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Un audit de l'existant est-il disponible pour en ameliorer les performances NR ?;Les principaux travers d'un service existant par rapport aux 3P peut utilement servir de socle pour determiner les axes de performance NR e ameliorer avec des quick wins et des adaptations plus profondes.;Revalorisation;;;;;;;
STRATEGIE;B;B;A;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Les budgets financiers pour les aspects NR du projet sont-ils evalues ?;"Le NR va generer une nouvelle categorie d'exigences qui devront etre prises en compte dans les demarches projet, et demanderont des lignes budgetaires clairement identifiees. Bien que souvent les projets NR soient plus efficaces, moins ""boulimiques"" de technologies ""e la mode"" et de fonctionnalites inutiles, les charges projet en final sont diminuees.e";Acquisition;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;High;Once;Affectation des budgets
STRATEGIE;B;C;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Des equipements materiels sont-ils e renouveler ou e acheter pour le projet, les equipements supplementaires necessaires sont-ils mis e disposition en gardant en tete les principes du NR ?;Le lancement de nouveaux projets est souvent l'occasion de renouveler ou completer les equipements techniques. Dans le principe de la demarche NR, il serait plutet l'occasion de challenger une meilleure utilisation des equipements disponibles et mettre en place toutes les solutions possibles pour les preserver.;Acquisition;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;High;Once;Gestion de configuration
STRATEGIE;A;A;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Mes ressources humaines (Identifiees pour chaque phase) sont-elles disponibles ?;L'efficacite de la demarche NR ne peut etre atteinte sans la connaissance des enjeux NR par les personnes qui prendront part au projet.;N/A;;(X / Y ) * 100;"Formalises = 100 ; Identifies = 50 ; Non = 0";100;High;Once;La fiche de cadrage projet precise les profils de tous les membres de l'equipe.
STRATEGIE;B;B;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Les sponsors et eventuelles resistances de la demarche NR sont-ils identifies ?;Lorsque la demarche NR est peu installee dans le modele operationnel de l'organisation, les luttes d'influence vont parfois decider de l'avenir du NR. Pour faciliter l'adoption, les freins doivent etre identifies et les arguments pour vaincre les resistances doivent etre prepares en avance de phase et mis e disposition des sponsors de cette demarche.;N/A;;;;;;;
STRATEGIE;B;A;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Les objectifs NR sont-ils exposes clairement et partages par toutes les parties prenantes, internes ou externes e l'organisation ?;Plusieurs acteurs, y compris externes e l'organisation, peuvent etre impliques dans le projet. La permeabilite de la demarche NR vers toutes les parties prenantes peut permettre d'identifier / activer des leviers que des acteurs n'auraient peut-etre pas spontanement exprimes.;Conception;;(X / Y ) * 100;Informations diffusees;Parties prenantes;High;Once;Fiche projet
STRATEGIE;B;B;A;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Les delais de mise en oeuvre sont-ils envisages ?;La gestion des delais projet est toujours au centre des preoccupations. Pour que le NR ne soit pas l'element pointe du doigt il faut que les delais (en plus ou en moins) lies e cette demarche soient exprimes. Le delai projet n'intervient qu'une fois dans la vie du service, le gain ou la dette NR du projet va se multiplier tout au long du cycle de vie du projet.;Conception;;(X / Y ) * 100;"Formalises = 100 ; Identifies = 50 ; Non = 0";100;Medium;Once;Fiche de cadrage projet
STRATEGIE;A;A;A;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Le besoin couvert par le service numerique s'inscrit-il dans l'un des objectifs de developpement durable?;Le questionnement de l'utilite du service numerique par rapport e l'un ou plusieurs des 17 ODD est capital, afin d'eviter la production de services numeriques qui ne soient pas porteurs de valeurs.;Conception;INCONTOURNABLE;(X / Y ) * 100;"Au moins 1 ODD couvert = 100 ; 0 ODD = 0";100;High;Once;Fiche de cadrage projet
STRATEGIE;A;A;B;Prevoir, preparer et valider les disponibilites des ressources humaines du Numerique Responsable;A-t-on les personnes avec les competences techniques les plus pertinentes pour chaque element du projet ?e;"La demarche NR requiert avant tout une pratique metier affirmee. Il est difficile d'optimiser des elements techniques lorsque la pratique n'est pas suffisamment ancree. A l'inverse les optimisations NR sont parfois ""contre-intuitives"" et une bonne maetrise du NR et des 3P est indispensable.";N/A;;(X / Y ) * 100;Formes au NR;Membre equipe;High;Periodic;La fiche de cadrage projet precise pour chaque profil des membres de l'equipe, les competences necessaires et les besoins de ressources externes
STRATEGIE;A;A;B;Prevoir, preparer et valider les disponibilites des ressources humaines du Numerique Responsable;Les referents NR sont-ils listes et la liste communiquee aux acteurs du projet?;Le NR adresse un tres large perimetre, qu'il est difficile d'apprehender completement dans chaque phase projet. Il est indispensable que les professionnels intervenant sur le projet puissent s'appuyer e tous moments sur des personnes reference pour les assister dans les meilleures pratiques e deployer.;N/A;;(X / Y ) * 100;"Formalises = 100 ; Identifies = 50 ; Non = 0";100;High;Once;La fiche de cadrage projet designe le referent NR du projet.
STRATEGIE;A;A;A;Prevoir, preparer et valider les disponibilites des ressources humaines du Numerique Responsable;Une strategie pour sensibiliser les collegues/partenaires/clients au NR est-elle mise en place avec des etapes permettant de faire progresser les pratiques en continu ?;L'adoption du NR est une demarche globale, qui ne doit pas etre freinee par la capacite de tout faire tout de suite, elle s'inscrit dans une progression qui s'installe au fur et e mesure des pratiques.;N/A;;(X / Y ) * 100;"Formalises = 100 ; Identifies = 50 ; Non = 0";100;High;Periodic;Le plan de formation integre les diffusions de sensibilisations et formations aux aspects NR.
STRATEGIE;A;A;B;Prevoir, preparer et valider les disponibilites des ressources humaines du Numerique Responsable;Les parties prenantes internes et externes sont-elles sensibilisees, voire formees/certifiees au NR ?;Chaque partie prenante e besoin d'une information efficace sur son domaine d'expertise et d'action, seul un plan de formation adapte peut apporter cette efficacite en amont des projets;N/A;INCONTOURNABLE;(X / Y ) * 100;Sensibilisations NR;Membre equipe;High;Periodic;Le plan de formation integre les diffusions de sensibilisations et formations aux aspects NR. La communication externe propage les enjeux environnementaux du numerique.
STRATEGIE;B;A;B;Prevoir, preparer et valider les disponibilites des ressources humaines du Numerique Responsable;Les equipes ont-elle ete questionnees en amont du lancement du projet, l'impact a-t-il ete evalue et communique?;Lorsque le NR est integre dans la demarche projet, tous les elements d'optimisation des projets sont mis en oeuvre, notamment les adaptations des processus avec la prise en compte des retours d'experience sont naturels et totalement adaptes au NR;Revalorisation;;;;;;;
STRATEGIE;B;A;B;Prevoir, preparer et valider les disponibilites des ressources humaines du Numerique Responsable;Chaque partie-prenante interne et externe a-t-elle la latitude de prendre des decisions pouvant influer sur l'impact du Numerique Responsable ?;Les decisions projets qui peuvent avoir un impact important sur l'environnement doivent pouvoir etre prises rapidement. Pour cela il est indispensable de definir l'espace de decision de chaque acteur et les mecanismes de validation. En l'absence de cette clarification, des decisions erratiques, meme pour de bonnes raisons, pourraient intervenir et decredibiliser la demarche NR, ou entraener une forme d'auto-censure limitant les benefices NR;N/A;;;;;;;
STRATEGIE;A;B;A;Prevoir, preparer et valider les disponibilites des ressources humaines du Numerique Responsable;Mes cibles peuvent-elles adherer e ma demarche NR et de quelle maniere ?e;La demarche NR est mise en place pour le bien de toute la communaute, il serait dommage que cette prise en compte reste confidentielle et ne participe pas e la prise de conscience collective de l'impact des services numeriques;Revalorisation;;;;;;;
STRATEGIE;B;B;A;Prevoir, preparer et valider les disponibilites des ressources humaines du Numerique Responsable;Le projet avec une demarche NR va t-il reellement repondre aux besoins de mes clients ?;Une demarche NR appliquee sur un service numerique peut dans certains cas generer un peu d'inconfort / de disruption pour les utilisateurs dans leurs pratiques. Un mecanisme d'accompagnement ou de communication peut aisement lever ces points. Et apporter une valorisation importante.;Conception;;(X / Y ) * 100;"Abordee = 100 ; Partielle = 50 ; Non traitee = 0";100;Medium;Once;Fiche de cadrage projet
STRATEGIE;B;A;B;Prevoir, preparer et valider les disponibilites des ressources humaines du Numerique Responsable;Les aspects Numerique Responsable sont-ils propages et entretenus sur l'ensemble des acteurs ?;Obtenir et maintenir l'engagement des acteurs est un point important pour que le NR devienne la norme de fait.;Utilisation;;;;;;;
STRATEGIE;A;C;B;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;Chacune des phases du cycle de vie (demarrage, maturite, arret) sont-elles identifiees avec des actions specifiques ?;La demarche ACV est une base de la prise en compte du NR dans la conception des services numeriques. Elle permet d'associer des actions e chaque etape du cycle de vie.;Revalorisation;;(X / Y ) * 100;"Formalises = 100 ; Identifies = 50 ; Non = 0";100;Low;OnUpdate;L'analyse d'impact determne les actions de reduction des impacts avec les acteurs concernes
STRATEGIE;A;B;B;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;Les donnees ACV sont-elles reutilisees dans le cas d'une adaptation d'un service existant ?;Les analyses ACV peuvent etre realisees sur des services existants afin de les rendre plus efficaces dans le cas d'une refonte ou adaptation d'un service existant;Revalorisation;;(X / Y ) * 100;"Formalises = 100 ; Identifies = 50 ; Non = 0";100;Low;OnUpdate;"Une ACV minimale (""screening"") est disponible pour le service existant"
STRATEGIE;B;B;A;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;Si je decide de refaire mon service, queest-ce que je conserve de leancien et comment je le nettoie de la toile ?e;Une bonne optimisation des enjeux NR passe aussi par la reutilisation des elements qui ont ete coneus avec une prise en compte du NR afin d'eviter de dupliquer certains elements ou d'avoir des composants en double emploi, ou tout simplement inactifs, qui ne seraient maintenus que parce que l'effort de nettoyage n'a pas ete pris en compte.;Revalorisation;;(X / Y ) * 100;Volume reutilse;Volume service;Medium;OnUpdate;Analyse d'impact
STRATEGIE;B;B;A;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;Est-ce que je peux recycler des briques logicielles ou du contenu existant ? Est-ce que je vais creer de la valeur reutilisable/valorisable dans d'autres projets ?;La conception modulaire est une pratique metier tres largement employee. Le NR peut tirer un benefice de ces methodes lorsque chaque composant modulaire est bien decrit et que ses atouts ou travers sont bien identifies.;Revalorisation;;(X / Y ) * 100;Volume reutilse;Fonctionnalites;Medium;OnUpdate;Fiche de cadrage projet
STRATEGIE;B;C;B;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;Comment sont gerees les phases de fin de vie, des le debut ou e la fin d'un projet ?;Lors de la conception, chaque partie composant le projet peut etre amenee e avoir une duree de vie differente. Il est important que l'ensemble des procedure de fin de vie soient exprimees pour que l'empreinte des composants inutilises et arretes soient nulle.;Fin de Vie;;;;;;;
STRATEGIE;C;C;A;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;"La prise de conscience des ""coets de non-qualite"" est-elle partagee par toutes les parties prenantes internes ?e";La qualite du logiciel produit e un impact direct sur les aspects NR. En effet, les defauts generent de multiples livraisons de nouvelles versions successives, les anomalies entraenent des productions de traces d'anomalies importantes, et des fonctionnalites plus consommatrices de ressources techniques, parfois pour un resultat non atteint, donc des ressources ont ete gaspillees pour ne produire aucun resultat.;Administration;;;;;;;
STRATEGIE;A;B;B;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;Lors d'un audit, les elements suivants sont-ils apprehendes ? A quel moment je geche de l'energie dans mon service ? Quels sont les pages/parcours utilisateurs en trop ou inutiles qui devraient donc etre nettoyees ?e;Lorsque le parcours utilisateur est court, moins de composants sont mis en oeuvre, les flux sont plus reduits, la comprehension du service est plus simple, donc les aspects NR sont mieux pris en compte.;Utilisation;;(X / Y ) * 100;Parcours analyses;Parcours user;Medium;OnUpdate;L'audit se base sur la cartographie des parcours / branches du service, pour analyser les volumes et charges d'utilisation generees et determiner les ameliorations necesaires
STRATEGIE;A;B;A;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;Les indicateurs pour mesurer l'efficacite de ma demarche NR sont-ils identifies et suivis ?;La mesure de certains elements est un objectif qui permet de valoriser le resultat d'une demarche NR. La recherche d'indicateurs trop complexes peut s'averer contre-productive, il vaut mieux s'attacher e des donnees fiables et marquantes et faire evoluer le nombre et la precision des indicateurs au fur et e mesure des gains de maturite de l'organisation et des acteurs internes;Administration;;(X / Y ) * 100;"Formalises = 100 ; Identifies = 50 ; Non = 0";100;High;Periodic;Les extensions des navigateurs (ex: CHROME : extension GreenIT) sont utilises et exposes pour valider l'efficacite.
STRATEGIE;B;B;A;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;Les outils pour mesurer l'efficacite de ma demarche NR sont-ils identifies et communiques ?;Permettre aux acteurs de valider les resultats obtenus par la prise en compte du NR est important car il permet e chacun de s'approprier cette demarche et de situer ses actions dans cet objectif avec des outils adaptes e chaque acteur;Administration;;;;;;;
STRATEGIE;B;B;B;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;La duree de vie du projet est-elle definie ?;Un service numerique ne peut plus etre coneu pour l'eternite, il est etroitement lie aux environnements socio-economiques. A cette fin, il doit pouvoir etre remis en cause regulierement. Ceci presente aussi l'avantage de ne pas cumuler de dettes techniques et de rester au fait des avancees et pratiques les plus efficaces dans les domaines NR qui evoluent tres rapidement.;Fin de Vie;;;;;Medium;Once;Fiche de cadrage projet
STRATEGIE;B;A;A;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;Est ce que les experiences des projets passes sont prises en compte ?;Beaucoup de projets au sein d'une organisation ont des principes communs, il est necessaire de pouvoir s'appuyer sur d'autres projets pour capitaliser sur les gains et benefices des demarches NR du passe, et de les enrichir avec les nouvelles connaissances ou pratiques acquises.;Revalorisation;;;;;;;
STRATEGIE;B;A;A;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;Est-il prevu de capitaliser l'experience de ce projet pour le futur?;Les methodologies projet utilisent frequemment les post-mortem pour apprendre des realisations passees et progresser. Le NR doit apparaetre dans ces thematiques.;Revalorisation;;;;;;;
STRATEGIE;B;B;A;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;Les indicateurs couvrent-ils les elements pour mesurer, evaluer et estimer le niveau de maturite NR, le piloter, leameliorer et le contreler ?;La demarche NR est iterative, elle doit s'inserer dans un processus d'amelioration continue.;Administration;;;;;;;
STRATEGIE;A;A;B;Determiner et planifier la capacite de suivre et capitaliser sur les composantes Numerique Responsable des projets;La conformite numerique responsable est-elle exposee ?;"Un service numerique concu en respectant les recommandations du numerique responsable doit exposer les acquis et faiblesses identfies. Dans une demarche similaire e celle deployee pour l'accessibilite avec la ""declaration d'accessibilite"".";Conception;INCONTOURNABLE;(X / Y ) * 100;"Document valide et expose = 100 ; Partiel = 50 ; Prevu = 25 ; Non = 0";100;High;Once;"Document ""declaration de conception responsable"""
STRATEGIE;B;B;B;Prevoir, preparer et valider les elements techniques du projet pour la conformite avec le Numerique Responsable;En dehors des elements constituant le service numerique, quels sont les services annexes necessaires : technologie tiers / open source, hebergement vert, agence digitale eco-responsable ... ?;Les phases de design, de developpements, de production ont des impacts sur les aspects NR qui doivent etre abordes dans toutes les ressources associees au projet.;Acquisition;;;;;;;
STRATEGIE;A;B;B;Prevoir, preparer et valider les elements techniques du projet pour la conformite avec le Numerique Responsable;Chaque fonction du service est-elle apprehendee en regard de son importance dans le service ?;Les fonctionnalites les plus importantes sont parfois moins consommatrices de ressources que des fonctions marginales ce qui n'a pas de sens dans une demarche NR coherente.;Conception;;;;;;;
STRATEGIE;C;C;B;Prevoir, preparer et valider les elements techniques du projet pour la conformite avec le Numerique Responsable;Est-ce qu'une donnee reglementee (sante, bancaire, ...) est utilisee dans l'ensemble du systeme ?;L'exposition de l'utilisateur doit pouvoir etre strictement encadree. Au dele de la reglementation, c'est aussi la dimension humaine du NR qui est en jeu;Conception;;(X / Y ) * 100;"Formalises = 100 ; Identifies = 50 ; Non = 0";100;High;Once;Analyse de risques
STRATEGIE;C;C;B;Prevoir, preparer et valider les elements techniques du projet pour la conformite avec le Numerique Responsable;Des donnees personnelles au sens du RGPD sont-elles utilisees ?;L'utilisateur vous confie des donnees. Pour prendre en consideration l'aspect PEOPLE, et ne pas s'exposer e des sanctions onereuses, la demarche NR incite e fortement limiter ces donnees.;Conception;;;;;High;Once;Analyse de risques
STRATEGIE;B;B;B;Prevoir, preparer et valider les elements techniques du projet pour la conformite avec le Numerique Responsable;Est ce que le choix de solutions Open Source est privilegie ?e;Une solution Open Source n'est pas un gage d'efficacite NR et les differentes alternatives doivent etre challengees. Mais l'open source permet de limiter les ambitions et mainmises de certains acteurs dont les pratiques economiques et sociales sont opaques.e;Acquisition;;;;;;;
STRATEGIE;B;B;B;Prevoir, preparer et valider les elements techniques du projet pour la conformite avec le Numerique Responsable;Les outils integres (CMS, frameworks, ...), ou les developpements internes, apportent-ils des elements positifs vis e vis de la demarche NR ?;Dans les choix BUY/BUILD la dimension NR doit pouvoir etre evaluee et projetee dans le temps pour s'assurer que les choix sont suffisamment evolutifs pour permettre de gagner en conformite NR au fil du temps. Et pas uniquement sur la phase de developpement / integration.;Acquisition;;;;;;;
STRATEGIE;B;B;B;Prevoir, preparer et valider les elements techniques du projet pour la conformite avec le Numerique Responsable;Quelle est la technologie adherant aux principes NR la plus appropriee e mes besoins ?e;Le choix technologique doit etre dicte par des criteres NR, plutet que par l'attrait technologique de la nouveaute e la mode. La liste des criteres doit etre determinee par un collectif pas exclusivement compose des techniciens qui vont les utiliser afin d'avoir une vision plus large.;Acquisition;;;;;;;
STRATEGIE;B;B;A;Prevoir, preparer et valider les elements techniques du projet pour la conformite avec le Numerique Responsable;Dans le cas d'un developpement interne (CMS, Framework, ...), quelle est la pertinence de le retravailler sous l'angle d'une optimisation NR, si la demarche NR est peu maetrisee et le projet deje avance ?;Les outils selectionnes pour les developpements doivent permettre d'integrer les principes NR sans qu'une refonte complexe ne soit necessaire. La complexite ecarte de fait les bonnes volontes et ecarte les personnes les moins aguerries, ce qui donne au projet une forme elitiste peu compatible avec les principes NR.;Acquisition;;;;;;;
STRATEGIE;B;B;A;Prevoir, preparer et valider les elements techniques du projet pour la conformite avec le Numerique Responsable;Comment choisir les solutions techniques les plus propices au NR ?;Un choix de base technique doit prendre en compte les aspects techniques mais aussi les orientations des fournisseurs et la facilite de deployer la production realisee e partir de ce socle en limitant les impacts environnementaux. Les criteres permettant la selection de ce type de composants doivent etre clairement definis.;Acquisition;;;;;;;
SPECIFICATIONS;A;A;B;Organiser les ressources humaines projets pour permettre la prise en compte de la demarche NR;Les enjeux NR du projet ont-ils ete communiques e l'equipe des l'origine ?;La demarche NR est mieux prise en compte lorsqu'elle s'insere par un processus systemique et qu'elle est exposee comme direction e suivre pour tous les acteurs.;N/A;INCONTOURNABLE;(X / Y ) * 100;Enjeux NR communiques;Membre equipe;High;Once;La fiche projet precise les objectifs et attendus NR
