Original family;Planet;People;Prosperity;RECOMMENDATION;Criteria;Justifications;Stage life cycle;inescapable;Indicators;X;Y;Priority;Recurrence;USE CASE;ID
STRATEGY;A;B;A;Define and validate the needs and issues of the project to anticipate impacts;Can I propose to cover the needs otherwise, avoiding the digital with a more respectful way of the environment? E;Some simple manual processes can be an alternative to any digital, even within a digital service. As part of a digital service the natural trend is to integrate all steps without asking the issue of environmental efficiency.;Design;;(X / y) * 100;Formalized questions;Customer needs;Medium;Ounce;The framing sheet prepays for each need an impact assessment;STR-1.08
STRATEGY;A;B;B;Define and validate the needs and issues of the project to anticipate impacts;Is the successful solution most respectful of the environment? Otherwise, is this choice justified by the user need?;The new service can bring better environmental efficiency, but it can also participate in the creation of additional environmental debt, all 3 dimensions (3P) must be able to show a beneficiary otherwise the positioning of the service can be revised.;Design;;(X / y) * 100;"YES = 100; Partial = 50; No = 0";100;Medium;Onupdate;An impact assessment is defined to make it possible to arbitrate the impacts visiting the coverage of needs;STR-1.09
STRATEGY;A;B;A;Define and validate the needs and issues of the project to anticipate impacts;Does the Economic Model of this Service take into account eco-design?;When the NR is outside the Economic Model It is difficult to reconcile the economic activity and impacts of the NR, and it turns most often from the arbitrations where IMMEDIATE PROSPERITYABILITY is privileged against the 3P;Design;;;;;;;;STR-1.C03
STRATEGY;B;B;B;Define and validate the needs and issues of the project to anticipate impacts;Are performances, accessibility, security and sobriet aspects taken into account together?;In the majority of cases, better technical performance is also synonymous with better environmental efficiency, the consumption of calculation resources is lower, the volumes of transfers are more restricted, the algorithms are more efficient.;Design;;;;;;;;STR-1.C04
STRATEGY;B;B;A;Define and validate the needs and issues of the project to anticipate impacts;Are the NR gains evolve in the preparable project?;In the case of redesign of services, it is easier to estimate the gains expected by the new reference service to the current service. For a new service, the pre-determined study will determine gain assumptions that will have to be affined during the project. The display of expected gains is an important marker to convince all the actors of the well foundation of the approach;Design;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;Medium;Ounce;Impact analysis;STR-1.10
STRATEGY;B;B;B;Define and validate the needs and issues of the project to anticipate impacts;Is the NR registered in the strategy and objectives of the organization?;"In order to be able to install a NR approach in the projects, it is essential that all deciders will adhere to this step, it is necessarily the case if the NR is entered in the strategy of the organization. In the opposite case, it will be difficult to carry out a NR approach, because permanently it will have to find justifications to convince to continue. The project would be impacted so pereu as less effective ""e cause of the NR""";Design;;;;;;;;STR-1.C05
STRATEGY;B;B;B;Define and validate the needs and issues of the project to anticipate impacts;Waiting for walking, customers, suppliers, partners in line with a NR approach?;The different activity sectors present variable sensitizes against NR, and e perimeter identical certain organizations or categories of stakeholders have variable aspirations. The fact of engaging in a NR approach and exposing it is simpler if it corresponds to a concern of the actors concerned. The communication and expression of the NR approach will be somewhat different depending on the maturite of the target market.;Design;;;;;;;;STR-1.C06
STRATEGY;B;B;A;Define and validate the needs and issues of the project to anticipate impacts;Are the expected issues and beneficial issues identified?;To capitalize on innovation by taking into account the NR it is important to determine the benefits of the approach, whether from a financial point of view, or of competitive advantage or notoriety or communication capacity and Recognition of being an actor engages to reduce the impacts of the numeric.;Design;;;;;;;;STR-1.C07
STRATEGY;B;A;B;Define and validate the needs and issues of the project to anticipate impacts;Is the organization able to advance its level of maturity vis-�-eco design and perimeter, with the realization of NR projects?;The NR approach must be present in all stages of realization and it necessarily passes through a NR culture within the organization. Maturite will increase gradually with practices.;Design;;;;;;;;STR-1.C08
STRATEGY;B;B;B;Define and validate the needs and issues of the project to anticipate impacts;Is an existing audit available for improving NR performance?;The main through an existing service compared to 3Ps can usefully serve as a base to determine the performance axes to improve with Quick Wins and deeper adaptations.;Revaluation;;;;;;;;STR-1.C09
STRATEGY;B;B;A;Define and validate the needs and issues of the project to anticipate impacts;Are the financial budgets for the NR aspects of the project evolves?;"The NR will generate a new category of requirements that will have to be taken into account in the project boards, and will require clearly identified budget lines. Although often NR projects are more efficient, less ""bulimic"" technologies ""E fashion"" and unnecessary functionalities, project loads in the final are diminished.";Acquisition;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Ounce;Assignment of budgets;STR-1.11
STRATEGY;B;C;B;Define and validate the needs and issues of the project to anticipate impacts;Are material equipment renews or buy for the project, are the additional equipment needed by keeping the principles of NR?;The launch of new projects is often an opportunity to renew or complete technical equipment. In the principle of the NR approach, it would rather be the opportunity to challenge a better use of available equipment and set up all possible solutions to preserve them.;Acquisition;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Ounce;Configuration Management;STR-1.12
STRATEGY;A;A;B;Define and validate the needs and issues of the project to anticipate impacts;My human resources (identifies for each phase) are they available?;The efficiency of the NR approach can not be reached without the knowledge of the issues NR by the people who will take part in the project.;N / A;;(X / y) * 100;"Formalises = 100; Identifies = 50; No = 0";100;High;Ounce;The framing sheet project specifies the profiles of all members of the team.;STR-1.13
STRATEGY;B;B;B;Define and validate the needs and issues of the project to anticipate impacts;Are the sponsors and eventual resistances of the NR approach identified?;When the NR approach is poorly installed in the operational model of the organization, the struggles of influence will sometimes decide the future of the NR. To facilitate adoption, the brakes must be identified and the arguments to overcome resistances must be prepared in advance of phase and placed disposition of the sponsors of this approach.;N / A;;;;;;;;STR-1.C10
STRATEGY;B;A;B;Define and validate the needs and issues of the project to anticipate impacts;Are the NR objectives clearly exhibited and shared by all stakeholders, internal or external to the organization?;Several actors, including external organizations, may be involved in the project. The permeability of the NR approach to all stakeholders can identify / activate levers that actors may not have spontaneously expressed.;Design;;(X / y) * 100;Diffuse information;Stakeholders;High;Ounce;Project sheet;STR-1.14
STRATEGY;B;B;A;Define and validate the needs and issues of the project to anticipate impacts;Are the implementation periods planned?;The project management is still at the center of the concerns. For the NR to be not the element point of the finger it is necessary that the delays (more or less) lies this approach are expressed. The project delay only intervenes once in the life of service, the project's gain or debt will multiply throughout the project life cycle.;Design;;(X / y) * 100;"Formalises = 100; Identifies = 50; No = 0";100;Medium;Ounce;Project framing sheet;STR-1.15
STRATEGY;A;A;A;Define and validate the needs and issues of the project to anticipate impacts;Does the need covered by the digital service is part of one of the sustainable development goals?;The questioning of the digital service utility compared to one or more of the ODD is Capital, in order to avoid the production of digital services that are not carriers.;Design;UNAVOIDABLE;(X / y) * 100;"At least 1 ODD covered = 100; 0 ODD = 0";100;High;Ounce;Project framing sheet;STR-1.16
STRATEGY;;;;Prepare, prepare and validate the availability of human resources responsible;;;;;;;;;;;STR-2
STRATEGY;A;A;B;Prepare, prepare and validate the availability of human resources responsible;Have people with the most relevant technical skills for each element of the project?;"The NR approach requires first and foremost a practice practice asserts. It is difficult to optimize technical elements when the practice is not anchored enough. On the other hand, the NR optimizations are sometimes ""counter-intuitive"" and a good maetrise of the NR and 3P is indispensable.";N / A;;(X / y) * 100;Forms at NR;Team;High;Perioric;The specified project framework for each profile of team members, the necessary skills and the needs of external resources;STR-2.01
STRATEGY;A;A;B;Prepare, prepare and validate the availability of human resources responsible;Are the References NR lists and the list communicated to project actors?;The NR address a very wide perimeter, it is difficult to completely apprehend in each project phase. It is essential that the project professionals can rely all times on people referring to assist them in best practices.;N / A;;(X / y) * 100;"Formalises = 100; Identifies = 50; No = 0";100;High;Ounce;The Design Fraction Sheet Designs re refer to the project.;STR-2.02
STRATEGY;A;A;A;Prepare, prepare and validate the availability of human resources responsible;A strategy to educate colleagues / partners / clients in NR is put in place with steps to advance continuous practices?;The adoption of the NR is a global approach, which must not be branded by the ability to do everything right away, it is part of a progression that is settled as the practices.;N / A;;(X / y) * 100;"Formalises = 100; Identifies = 50; No = 0";100;High;Perioric;The training plan is integrated with sensitization and training broadcasts in NR aspects.;STR-2.03
STRATEGY;A;A;B;Prepare, prepare and validate the availability of human resources responsible;Are internal and external stakeholders sensitized or or certified to NR?;Each stakeholder needs effective information on its area of __expertise and action, only an adapted training plan can bring this effectiveness upstream of projects;N / A;UNAVOIDABLE;(X / y) * 100;NR sensitization;Team;High;Perioric;The training plan is integrated with sensitization and training broadcasts in NR aspects. External communication propagates the environmental issues of the digital.;STR-2.04
STRATEGY;B;A;B;Prepare, prepare and validate the availability of human resources responsible;Has the teams been questioned upstream of the project launch, did the impact be evaluated and communicated?;When the NR is integrated in the project approach, all project optimization items are implemented, including the adaptations of the processes with the taking into account of the feedback of experience are natural and totally adapted to the NR;Revaluation;;;;;;;;STR-2.C01
STRATEGY;B;A;B;Prepare, prepare and validate the availability of human resources responsible;Does each internal and external part-interest have the latitude of taking decisions that can affect the impact of the responsible digital?;Project decisions that can have a significant impact on the environment must be taken quickly. For this it is essential to define the decision space of each actor and the validation mechanisms. In the absence of this clarification, erratic decisions, even for good reasons, could intervene and decreeize the NR approach, or cause a form of self-censorship limiting the NR benefits;N / A;;;;;;;;STR-2.C02
STRATEGY;A;B;A;Prepare, prepare and validate the availability of human resources responsible;Can my targets adhere to my NR approach and what manner?;The NR approach is put in place for the good of the whole community, it would be a shame that this consideration remains confidential and does not participate in the collective awareness of the impact of digital services;Revaluation;;;;;;;;STR-2.C03
STRATEGY;B;B;A;Prepare, prepare and validate the availability of human resources responsible;Does the project with a NR approach will really meet the needs of my clients?;A NR approach applied on a digital service can in some cases generate some discomfort / disruption for users in their practices. A accompaniment or communication mechanism can easily lift these points. And bring a significant valuation.;Design;;(X / y) * 100;"Abordee = 100; Partial = 50; Not treated = 0";100;Medium;Ounce;Project framing sheet;STR-2.05
STRATEGY;B;A;B;Prepare, prepare and validate the availability of human resources responsible;Are the responsible digital aspects are spread and maintained on all the actors?;Getting and maintaining the engagement of the actors is an important point for the NR to become the fact.;Use;;;;;;;;STR-2.C04
STRATEGY;;;;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;;;;;;;;;;;STR-3
STRATEGY;A;C;B;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;Are each phases of the life cycle (starting, maturite, stop) identifies with specific actions?;The ACV approach is a basis for taking into account the NR in the design of digital services. It makes it possible to associate actions e each stage of the life cycle.;Revaluation;;(X / y) * 100;"Formalises = 100; Identifies = 50; No = 0";100;Low;Onupdate;Impact Analysis Determne Impact Reduction Shares with Conquered Stakeholders;STR-3.01
STRATEGY;A;B;B;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;Are ACV data reutilized in the case of an adaptation of an existing service?;ACV analyzes can be carried out on existing services to make them more efficient in the case of an overhaul or adaptation of an existing service;Revaluation;;(X / y) * 100;"Formalises = 100; Identifies = 50; No = 0";100;Low;Onupdate;"A minimal ACV (""screening"") is available for the existing service";STR-3.02
STRATEGY;B;B;A;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;If I decide to redo my service, what is I keeping leancans and how I clean it of the canvas? E;A good optimization of the NR stakes also passes through the rebery of the elements that have been conseen with a consideration of the NR in order to avoid duplicate certain elements or to have duplicative components, or simply inactive, which would not be maintained because because the cleaning effort has not been taken into account.;Revaluation;;(X / y) * 100;VOLUME REUTILSE;Volume service;Medium;Onupdate;Impact analysis;STR-3.03
STRATEGY;B;B;A;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;Can I recycle software bricks or existing content? Am I going to create value reutilizable / valuable in other projects?;Modular design is a very widely used job practice. The NR can draw a beneficiary of these methods when each modular component is properly described and that its strengths or through are well identified.;Revaluation;;(X / y) * 100;VOLUME REUTILSE;Functionalities;Medium;Onupdate;Project framing sheet;STR-3.04
STRATEGY;B;C;B;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;How are the end of life phases, the beginning or the end of a project?;During the design, each part component the project may be brought to have a different life of life. It is important that all end-of-life procedure be expressed for the imprint of unused components and arresters to be zero.;End of life;;;;;;;;STR-3.C01
STRATEGY;C;C;A;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;"Awareness of ""non-quality controls"" is it shared by all internal stakeholders? E";The quality of the software produces a direct impact on the NR aspects. Indeed, the defects generate multiple deliveries of new successive versions, the anomalies entails productions of traces of important anomalies, and more functionalities more consumers of technical resources, sometimes for a result not achieved, so resources have been wasted. Produce any result.;Administration;;;;;;;;STR-3.C02
STRATEGY;A;B;B;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;During an audit, are the following elements apprehends? When did I write energy in my service? What are the useful or unnecessary users pages / paths that should therefore be cleaned?;When the user path is short, fewer components are implemented, the flows are reduced, the service comprehension is simpler, so the NR aspects are better taken into account.;Use;;(X / y) * 100;Analyzes course;User course;Medium;Onupdate;The audit is based on the mapping of the courses / branches of the service, to analyze the volumes and expenses of use Generes and determine the nesal improvements;STR-3.05
STRATEGY;A;B;A;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;Are indicators for measuring the effectiveness of my NR application identified and followed?;The measurement of certain elements is a goal that makes it possible to value the result of a NR approach. The search for too complex indicators can be counterproductive, it is better to focus with reliable and striking data and to evolve the number and precision of the indicators as the maturite gains of the organization and internal actors;Administration;;(X / y) * 100;"Formalises = 100; Identifies = 50; No = 0";100;High;Perioric;The extensions of the browsers (eg Chrome: GreenIt extension) are used and exposed to validate efficiency.;STR-3.06
STRATEGY;B;B;A;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;Are the tools for measuring the effectiveness of my NR reciprocation identifies and communicates?;Allowing the actors to validate the results obtained by the consideration of the NR is important because it allows each of the appraise and to situate its actions in this objective with adapted tools each actor;Administration;;;;;;;;STR-3.C03
STRATEGY;B;B;B;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;Is the life of the project defined?;Digital service can no longer be cone for Eternity, it is closely linked to socio-economic environments. To this end, he must be able to be questioned regularly. This also presents the advantage of not cumming technical debt and to stay as a result of the most effective advances and practices in the NR fields that evolve very quickly.;End of life;;;;;Medium;Ounce;Project framing sheet;STR-3.07
STRATEGY;B;A;A;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;Are the Experiences of Passes projects taken into account?;Many projects within an organization have common principles, it is necessary to be able to rely on other projects to capitalize on the gains and benefits of the nr of the pass, and to enrich them with the new knowledge or practices. acquired.;Revaluation;;;;;;;;STR-3.C04
STRATEGY;B;A;A;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;Is he planned to capitalize the experience of this project for the future?;Project methodologies frequently use post-mortems to learn past and progress achievements. The NR must appear in these themes.;Revaluation;;;;;;;;STR-3.C05
STRATEGY;B;B;A;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;Do the indicators cover the elements to measure, evaluate and estimate the level of Maturite NR, pilot it, leamelorer and to control it?;The NR approach is Iterative, it must insert into a process of continuous improvement.;Administration;;;;;;;;STR-3.C06
STRATEGY;A;A;B;Determining and planning the ability to follow and capitalize on the digital components responsible for projects;Is responsible digital conformity exhibited?;"A designed digital service in accordance with the recommendations of the responsible Digital must expose the identfied achievements and weaknesses. In a similar approach to that deployed for accessibility with the ""Declaration of Accessibility"".";Design;UNAVOIDABLE;(X / y) * 100;"Valid document and exposes = 100; Partial = 50; Prevumed = 25; No = 0";100;High;Ounce;"Document ""Responsible Design Declaration""";STR-3.08
STRATEGY;;;;Provide, prepare and validate the technical elements of the project for compliance with the responsible digital;;;;;;;;;;;STR-4
STRATEGY;B;B;B;Provide, prepare and validate the technical elements of the project for compliance with the responsible digital;Apart from the Elements constituting the digital service, what are the additional services necessary: __third-party / open source technology, green hosting, eco-responsible digital agency ...?;The phases of design, development, production have impacts on the NR aspects that must be approached in all resources associated with the project.;Acquisition;;;;;;;;STR-4.C01
STRATEGY;A;B;B;Provide, prepare and validate the technical elements of the project for compliance with the responsible digital;Is each function of the service apprehende with regard to its importance in the service?;The most important functionalities are sometimes less resource-consuming than marginal functions which does not make sense in a coherent NR approach.;Design;;;;;;;;STR-4.C02
STRATEGY;C;C;B;Provide, prepare and validate the technical elements of the project for compliance with the responsible digital;Is a regulated data (health, banking, ...) is used throughout the system?;The exposure of the user must be able to be strictly framed. At the dele of regulations, it is also the human dimension of the NR which is at stake;Design;;(X / y) * 100;"Formalises = 100; Identifies = 50; No = 0";100;High;Ounce;Risk analysis;STR-4.01
STRATEGY;C;C;B;Provide, prepare and validate the technical elements of the project for compliance with the responsible digital;Are personal data within the meaning of RGPD use?;The user entrusts you with data. To take into consideration the people appearance, and do not expose ourselves, the overall sanctions, the NR prompt to strongly limit these data.;Design;;;;;High;Ounce;Risk analysis;STR-4.02
STRATEGY;B;B;B;Provide, prepare and validate the technical elements of the project for compliance with the responsible digital;Is the choice of open source solutions is privileged? E;An open source solution is not a guarantee of NR efficiency and the different alternatives must be challenged. But Open Source makes it possible to limit the ambitions and directions of certain actors whose economic and social practices are opaques.e;Acquisition;;;;;;;;STR-4.C03
STRATEGY;B;B;B;Provide, prepare and validate the technical elements of the project for compliance with the responsible digital;Integroe tools (CMS, Frameworks, ...), or internal development, do they bring positive elements vis-�-vis the NR approach?;In the choices Buy / Build The NR dimension must be able to be evaluated and planned over time to ensure that the choices are sufficiently evolving to enable NR compliance over time. And not only on the development / integration phase.;Acquisition;;;;;;;;STR-4.C04
STRATEGY;B;B;B;Provide, prepare and validate the technical elements of the project for compliance with the responsible digital;What is the technology to the NR principles the most appropriate for my needs? E;The technological choice must be dictated by criteria NR, rather than by the technological appeal of the new fashion. The list of criteria must be determined by a collective not exclusively composed technicians who will use them in order to have a wider view.;Acquisition;;;;;;;;STR-4.C05
STRATEGY;B;B;A;Provide, prepare and validate the technical elements of the project for compliance with the responsible digital;In the case of internal development (CMS, Framework, ...), what is the relevance of reworking in terms of NR optimization, if the NR approach is little maetrisee and the project already advance?;The selection tools for developments must enable the NR principles without a complex overhaul. The complete complexity of the good skies and spread the least seasonal people, which gives the project an elistist form not compatible with the principles NR.;Acquisition;;;;;;;;STR-4.C06
STRATEGY;B;B;A;Provide, prepare and validate the technical elements of the project for compliance with the responsible digital;How to choose the most conducive technical solutions for NR?;A technical basic choice must take into account the technical aspects but also the orientations of the suppliers and the facility to move the production carried out from this base by limiting the environmental impacts. The criteria allowing the selection of this type of components must be clearly defined.;Acquisition;;;;;;;;STR-4.C07
Specifications;;;;Organize Human Resources Projects to allow for the consideration of the NR approach;;;;;;;;;;;SPC-1
Specifications;A;A;B;Organize Human Resources Projects to allow for the consideration of the NR approach;Have the NR issues of the project been communicated to the origin team?;The NR approach is better taken into account when it is reached by a systemic process and is exposed as direction E follow all the actors.;N / A;UNAVOIDABLE;(X / y) * 100;NR issues communicates;Team;High;Ounce;The project sheet specifies the objectives and expected Nr;SPC-1.01
Specifications;A;A;B;Organize Human Resources Projects to allow for the consideration of the NR approach;Are the References NR from the organization identified?;The NR requires a strong knowledge that must be brought by people who are the best adapted.;N / A;;(X / y) * 100;"Formalises = 100; Identifies = 50; No = 0";100;High;Ounce;The Design Fraction Sheet Designs re refer to the project.;SPC-1.02
Specifications;A;B;A;Organize Human Resources Projects to allow for the consideration of the NR approach;What an editorial approach is planned to raise awareness among clients in NR?;Communication to users and customers is also a commitment of the company to reduce its environmental impacts and demonstrate competition by displaying its ambition and results NR.;Use;;;;;;;;SPC-1.C01
Specifications;B;A;B;Organize Human Resources Projects to allow for the consideration of the NR approach;Does each entity of the project team have NR competencies?;Each of the project steps requires specific knowledge for NR aspects, it is important that all stages are covered so that NR results are coherent throughout the life of the service.;N / A;UNAVOIDABLE;(X / y) * 100;"Training plan nr = 100; Provision of resources NR = 50; No = 0";100;High;Onupdate;Training plan adapts each profiles;SPC-1.03
Specifications;A;B;B;Organize Human Resources Projects to allow for the consideration of the NR approach;Are ACV data reutilized in the case of an adaptation of an existing service?;ACV analyzes can be carried out on existing services to make them more efficient in the case of an overhaul or adaptation of an existing service. Specifications and requirements NR from previous ACVs must be taken and adapted if necessary.;Revaluation;;(X / y) * 100;"Formalises = 100; Identifies = 50; No = 0";100;Low;Onupdate;"A minimal ACV (""screening"") is available for the existing service";SPC-1.04
Specifications;B;A;B;Organize Human Resources Projects to allow for the consideration of the NR approach;Does each Party have the latitude of taking decisions that can affect the environmental impact?;Specifications and User Story can evolve over time, these developments must systematically take into account the NR aspects. Adaptations are most often the fact of the trades. Environmental impacts must also be able to have this latitude with pre-defined validation paths.;Production;;;;;;;;SPC-1.C02
Specifications;;;;Include users in NR Project Resources;;;;;;;;;;;SPC-2
Specifications;B;B;A;Include users in NR Project Resources;Is the definition of needs carried out by consulting the end users?;When user needs are extrapoles e from the organization's analyzes and objectives, this can lead to broader demand expressions than those that users will actually use and service will be more consumer than necessary.;Design;;;;;;;;SPC-2.C01
Specifications;A;B;A;Include users in NR Project Resources;Do you transmit a NR pedagogy to users?;Services uses are a source of resource consumption. If users are encouraged and guides to reduce their impacts with pedagogic steps, this makes the entire service more efficient to reduce its impact.;Design;;;;;;;;SPC-2.C02
Specifications;B;A;A;Include users in NR Project Resources;Are the NR aspects spread and maintained on all the actors?;When each of the actors has a simple access of markers to evaluate the environmental impact of its actions and choices, it can adapt its practices to make the service more efficient and responsible.;Production;;;;;;;;SPC-2.C03
Specifications;B;B;B;Include users in NR Project Resources;Are the target profiles defined?;To clearly express the NR objectives in each of the specifications it is essential to situate the target profiles and associate them with the preceding objectives.;Design;;;;;Medium;Onupdate;Project framing sheet;SPC-2.01
Specifications;B;B;B;Include users in NR Project Resources;Are the responsible digital aspects are spread and maintained on all user profiles?;The use phases are a way to communicate and maintain the link on the NR aspects with the users, it is also a step that offers a different communication channel and remaining visiting the competition by involving users and making them actors of the service proposes.;Use;;;;;Low;Perioric;Training plan;SPC-2.02
Specifications;;;;Organize the methodology project to enable a NR approach;;;;;;;;;;;SPC-3
Specifications;B;B;B;Organize the methodology project to enable a NR approach;Are the NR magazine steps included in the methodology?;The NR objectives must be clearly defined and the management project must address the monitoring of these objectives with journals in the same way as the other categories of requirements, by associating actors adapted, justify and validate the decisions;N / A;;;;;;;;SPC-3.C01
Specifications;A;B;B;Organize the methodology project to enable a NR approach;Do we only relate to the nervous aspects;The project must define NR requirements (non-functional - NFR requirements) or the specific stories that will introduce NR orientations into the design. These elements will be taken care of in the same way as the other NFR (Safety, Accessibility for example) and will ensure that the NR aspects will be taken into consideration in all the project stages.;Design;;(X / y) * 100;Number US Nr;US NFR number;Medium;Onupdate;Tags / labels Nr are used to identify all NR aspects taken into account in the backlog;SPC-3.01
Specifications;B;B;B;Organize the methodology project to enable a NR approach;How proportion of functionalities (user story) have a nr? E component;Some functionalities can be stewed with very different NR impacts. In the absence of clarification, the chosen solution will be most often piloted by facilitating or technical failure, which opposes general performance NR. The only way to guide decisions is to introduce points of attention to the NR aspects in the majority of the User Stories.;Design;UNAVOIDABLE;(X / y) * 100;US number with info nr;US number;High;Onupdate;The Backlog uses NR tags / labels to identify User Stories with NR elements;SPC-3.02
Specifications;B;B;B;Organize the methodology project to enable a NR approach;"What is the journal / validation frequency of the NR elements, on a mode similar to the magazines and validation ""Securite""?";The consideration of the NR aspects made at the start of the design can be followed but in an iterative mode it is possible to spread gradually. The reviews of respect NR are essential to maintain the coherence of the project.;Production;;;;;;;;SPC-3.C02
Specifications;B;B;B;Organize the methodology project to enable a NR approach;Is each functionalitis evaluated in relation to the uses?;The User Story / USE Case must be specified by the uses so as not to go to an inflation of functionalities that would be unnecessary compared to the actual needs of users. Propose marginal features will engender an environmental footprint, a coet and an incompression of the extra service not justified.;Design;;;;;High;Onupdate;DEFINITION OF DONE;SPC-3.03
Specifications;C;B;C;Organize the methodology project to enable a NR approach;Is the use of continuous integration generalized?;From the NR point of view, capitalizing on the achievements and providing a technical model that guarantees these achievements, avoids non-quality abnormalities and overseens.;Deployment;;;;;;;;SPC-3.C03
Specifications;C;B;C;Organize the methodology project to enable a NR approach;Do not continuous integration processes do not generate breeches in taking into account NR aspects?;The different phases of the continuous integration make it possible to control the processes with expected definis. One of these integration steps must validate compliance with NR impacts.;Deployment;;(X / y) * 100;"Formalises = 100; Identifies = 50; No = 0";100;Low;Onupdate;Technical file;SPC-3.04
Specifications;B;B;B;Organize the methodology project to enable a NR approach;Are non-functional requirements (User Story) treated for the same way for NR, SECURITY and ACCESSIBILITY aspects?;Categories of non-functional requirements (NFR) intervene in transverse manner in project management because the dependencies are most often associated with behaviors that can only rarely link e one action. This is also the case of the NR, an effective punctual decision can be made obsolete by upstream or downstream actions.;Production;;;;;;;;SPC-3.C04
